Tamanho do Array,Algoritmo,Tempo de User,Tempo de System,Tempo Total
10000,Quick Sort,0.017619999999999997,0.0,0.017619999999999997
10000,Bubble Sort,6.197878,0.034794000000000005,6.232672
10000,Merge Sort,0.01360199999999967,9.099999999997999e-05,0.01369299999999965
20000,Bubble Sort,24.631117,7.20000000000165e-05,24.631189
20000,Merge Sort,0.02754499999999993,0.0,0.02754499999999993
20000,Quick Sort,0.02853500000000153,0.0,0.02853500000000153
30000,Bubble Sort,61.324065000000004,0.13002999999999998,61.454095
30000,Merge Sort,0.04616000000000042,1.8999999999991246e-05,0.046179000000000414
30000,Quick Sort,0.04022400000000914,1.0000000000287557e-06,0.04022500000000917
40000,Merge Sort,0.05901699999999721,0.0,0.05901699999999721
40000,Quick Sort,0.061091999999987934,0.0,0.061091999999987934
40000,Bubble Sort,108.91257,0.149995,109.062565
50000,Bubble Sort,190.160771,0.36003699999999994,190.52080800000002
50000,Quick Sort,0.06697800000000598,0.009994000000000058,0.07697200000000604
50000,Merge Sort,0.07333699999998089,7.000000000090267e-06,0.07334399999998098
60000,Merge Sort,0.09370300000000498,2.9999999999752447e-06,0.09370600000000495
60000,Quick Sort,0.08822400000002517,0.0,0.08822400000002517
60000,Bubble Sort,240.44643699999995,0.28000099999999994,240.72643799999994
70000,Bubble Sort,323.63669600000003,0.3900029999999999,324.026699
70000,Merge Sort,0.11642000000006192,0.0,0.11642000000006192
70000,Quick Sort,0.08540400000003956,0.029989000000000043,0.1153930000000396
80000,Bubble Sort,443.470959,0.6200000000000001,444.090959
80000,Merge Sort,0.12202900000011141,4.000000000115023e-06,0.12203300000011152
80000,Quick Sort,0.1185849999999391,0.0,0.1185849999999391
90000,Quick Sort,0.1389240000000882,0.0,0.1389240000000882
90000,Bubble Sort,571.6233110000001,0.820001,572.4433120000001
90000,Merge Sort,0.13709000000017113,9.999999999621423e-06,0.13710000000017075
100000,Quick Sort,0.16597600000000057,0.0,0.16597600000000057
100000,Bubble Sort,697.2426269999999,1.030024,698.2726509999999
100000,Merge Sort,0.16811999999981708,0.0,0.16811999999981708



